Household_ID,Upazila,CVI_Score,Ego_Network_Size,Shock_Experienced,Migration_Intent
55,Kaliganj,0.6097107754746672,4,1,0
56,Tala,0.2290996541632394,6,1,0
57,Shyamnagar,0.8750782433396691,3,1,0
58,Shyamnagar,0.8202896370413864,3,1,0
59,Shyamnagar,0.8319813430455864,3,1,1
60,Assasuni,0.7041258194827555,4,1,0
61,Assasuni,0.7410515671279508,4,1,1
62,Shyamnagar,0.9076125203798943,3,1,1
63,Debhata,0.4352410120796777,5,0,0
64,Assasuni,0.6726650173251001,4,0,0
65,Shyamnagar,0.8232035503415606,3,1,0
66,Assasuni,0.7206373452383337,4,1,0
67,Shyamnagar,0.7958165718652453,3,0,0
68,Debhata,0.3365711169697092,5,1,0
69,Shyamnagar,0.8131933236461165,3,0,1
70,Satkhira Sadar,0.22021345883157145,6,0,0
71,Debhata,0.3644462180683985,5,0,0
72,Shyamnagar,0.7950411626574865,3,0,0
73,Shyamnagar,0.7663139784454543,3,0,1
74,Debhata,0.32268109021001207,5,0,0
75,Debhata,0.4681583584604047,5,0,0
76,Debhata,0.38416597006037934,5,0,0
77,Debhata,0.3776489970739523,5,1,0
78,Shyamnagar,0.8619470924039605,3,1,0
79,Assasuni,0.6427380831797597,4,1,0
80,Shyamnagar,0.9024941775925338,3,1,1
81,Tala,0.29008830201817726,5,0,0
82,Kaliganj,0.4825175403237163,5,1,0
83,Assasuni,0.6726371163677393,4,1,0
84,Shyamnagar,0.8918677461343247,3,1,1
85,Assasuni,0.7517098033437115,3,0,1
86,Assasuni,0.6801102266874804,4,1,0
87,Debhata,0.41201170838160617,5,0,0
88,Kaliganj,0.4933847524528905,5,0,0
89,Tala,0.3187636076591767,5,1,0
90,Assasuni,0.6447507552075165,4,1,1
91,Shyamnagar,0.9014097661202689,3,1,1
92,Debhata,0.41744699734885526,5,1,0
93,Debhata,0.41116051923182884,5,0,0
94,Kaliganj,0.5417763915423112,4,0,0
95,Debhata,0.3546004717576638,5,0,0
96,Assasuni,0.6364792048008262,4,1,1
97,Assasuni,0.6430729313605263,4,0,0
98,Assasuni,0.6379657393216381,4,0,0
99,Shyamnagar,0.876937671035013,3,1,1
100,Shyamnagar,0.8125187888750095,3,0,0
101,Shyamnagar,0.7686764014845094,3,0,0
102,Kaliganj,0.6056743682197135,4,1,0
103,Assasuni,0.7425678827445139,4,0,0
104,Assasuni,0.749162842479282,4,1,0
105,Tala,0.3192870951705009,5,0,0
106,Shyamnagar,0.7860842873829231,3,1,1
107,Assasuni,0.6694363028353988,4,0,0
108,Debhata,0.4337357713556137,5,1,0
109,Shyamnagar,0.8644030927080688,3,1,0
110,Shyamnagar,0.7830843859509783,3,1,1
111,Shyamnagar,0.8823749687485927,3,1,1
112,Shyamnagar,0.7936660857754991,3,1,0
113,Satkhira Sadar,0.21133446607516723,6,1,0
114,Debhata,0.40054616343401206,5,1,0
115,Kaliganj,0.5530115908778385,4,1,0
116,Tala,0.26121206909729355,5,1,0
117,Debhata,0.3337230256096632,5,0,0
118,Shyamnagar,0.8916191293945571,3,0,1
119,Tala,0.21718400596241885,6,0,0
120,Assasuni,0.6294272381924206,4,0,0
121,Debhata,0.45331221198034655,5,0,0
122,Tala,0.31379120975216546,5,1,1
123,Assasuni,0.7393191425898176,4,1,1
124,Shyamnagar,0.8814274112087317,3,1,0
125,Shyamnagar,0.8582862970958532,3,1,0
126,Assasuni,0.6926286055913708,4,1,1
127,Debhata,0.3330480139867115,5,0,0
128,Tala,0.2371834498298978,6,0,0
129,Shyamnagar,0.8159032775518471,3,0,0
130,Assasuni,0.648963067564049,4,1,1
131,Assasuni,0.7185130170532877,4,0,0
132,Shyamnagar,0.8343813602618156,3,1,1
133,Shyamnagar,0.7721569323861472,3,0,0
134,Assasuni,0.6430274802924717,4,0,0
135,Satkhira Sadar,0.2756562269123434,5,0,0
136,Assasuni,0.621419628923545,4,0,0
137,Assasuni,0.7376810371073153,4,1,0
138,Debhata,0.39427197905209616,5,0,0
139,Assasuni,0.6820879865989972,4,0,0
140,Satkhira Sadar,0.26293708985233244,5,0,0
141,Satkhira Sadar,0.2954553352295209,5,0,0
142,Shyamnagar,0.8121713811853289,3,1,0
143,Assasuni,0.7117024228838595,4,0,0
144,Assasuni,0.6948597945993686,4,1,0
145,Shyamnagar,0.8000542405254132,3,1,1
146,Shyamnagar,0.8917944979532737,3,1,0
147,Kaliganj,0.58163964302497,4,0,0
148,Assasuni,0.7087677751987638,4,1,0
149,Shyamnagar,0.8875872593641363,3,1,0
150,Shyamnagar,0.8900941301439704,3,1,0
151,Tala,0.27917081674010485,5,0,0
152,Shyamnagar,0.8855519992545509,3,1,0
153,Shyamnagar,0.8646207192503925,3,1,1
154,Assasuni,0.712021115764045,4,1,0
155,Satkhira Sadar,0.2666055929501258,5,0,0
156,Shyamnagar,0.8729074959336462,3,1,1
157,Kaliganj,0.4922047147410303,5,1,0
158,Debhata,0.4521306138798392,5,0,0
159,Shyamnagar,0.8907765291617848,3,0,0
160,Debhata,0.3243870924551839,5,0,0
161,Assasuni,0.7338725125847144,4,1,0
162,Kaliganj,0.4880417814462823,5,1,0
163,Kaliganj,0.5169166395962799,4,1,0
164,Assasuni,0.7215262384437412,4,1,0
165,Shyamnagar,0.7841139844072462,3,1,0
166,Debhata,0.4426950536178593,5,0,0
167,Assasuni,0.7348201266936613,4,0,0
168,Shyamnagar,0.8361201600641255,3,1,1
169,Shyamnagar,0.760957880757525,3,0,0
170,Kaliganj,0.5101853386444878,4,1,0
171,Kaliganj,0.5563697685726039,4,0,0
172,Shyamnagar,0.9071779267041136,3,1,0
173,Assasuni,0.7047720290525002,4,1,0
174,Shyamnagar,0.798970537159624,3,1,0
175,Kaliganj,0.5587607984339455,4,1,0
176,Shyamnagar,0.8409978069573784,3,1,1
177,Kaliganj,0.5791783553211601,4,1,0
178,Assasuni,0.6260470958240437,4,0,0
179,Satkhira Sadar,0.28654390635028393,5,1,0
180,Shyamnagar,0.8411899868014165,3,0,0
181,Assasuni,0.7544488005788492,3,0,0
182,Shyamnagar,0.8112808249058029,3,1,0
183,Tala,0.2685670650387527,5,0,0
184,Tala,0.31048393477140246,5,0,0
185,Shyamnagar,0.7753764591986019,3,0,1
186,Kaliganj,0.6012119882131032,4,0,1
187,Debhata,0.423182858345122,5,0,0
188,Kaliganj,0.47949718827472404,5,0,0
189,Assasuni,0.6551445350420224,4,1,0
190,Shyamnagar,0.8662258132967923,3,1,0
191,Shyamnagar,0.7701025902203158,3,0,1
192,Tala,0.26150386442467827,5,0,0
193,Tala,0.22842362797341395,6,0,0
194,Kaliganj,0.5569281724874467,4,0,0
195,Assasuni,0.6168613050718769,4,1,0
196,Assasuni,0.7407305209228564,4,1,0
197,Debhata,0.4660233453766095,5,0,0
198,Tala,0.3156428997399968,5,1,0
199,Tala,0.2849512564440095,5,1,0
200,Debhata,0.3395129360195948,5,0,0
201,Kaliganj,0.5761568474300631,4,0,0
202,Shyamnagar,0.7636880374688202,3,1,0
203,Shyamnagar,0.7633185327293496,3,0,0
204,Tala,0.22530543068093578,6,0,0
205,Kaliganj,0.5384100466566532,4,0,0
206,Shyamnagar,0.875561112671169,3,1,1
207,Shyamnagar,0.8624943064909758,3,0,0
208,Kaliganj,0.5324263788927448,4,0,0
209,Shyamnagar,0.8010439999422498,3,1,1
210,Shyamnagar,0.9095686750236567,3,1,1
211,Assasuni,0.6739271953353959,4,1,0
212,Kaliganj,0.5331941834061545,4,0,0
213,Kaliganj,0.49290733496683364,5,0,0
214,Shyamnagar,0.8792214323124894,3,1,1
215,Debhata,0.4240523338672233,5,0,0
216,Shyamnagar,0.7931154419183141,3,1,0
217,Assasuni,0.6223571568423764,4,1,0
218,Debhata,0.42207489531120695,5,0,0
219,Kaliganj,0.5616315699993589,4,1,1
220,Debhata,0.3609889290497314,5,0,0
221,Kaliganj,0.6031208987150575,4,1,0
222,Kaliganj,0.49114810484932603,5,0,0
223,Shyamnagar,0.8248502201563903,3,1,1
224,Assasuni,0.7515423880251398,3,1,0
225,Shyamnagar,0.8229590975389184,3,1,0
226,Shyamnagar,0.8557788921496129,3,0,0
227,Satkhira Sadar,0.2356632157147912,6,1,0
228,Assasuni,0.6511322803523005,4,0,0
229,Tala,0.31775687071437597,5,0,0
230,Kaliganj,0.527306760884106,4,0,0
231,Debhata,0.4541148805518701,5,0,0
232,Assasuni,0.644493190883663,4,1,0
233,Kaliganj,0.4998346585635116,5,0,0
234,Assasuni,0.6146701124326767,4,0,0
235,Shyamnagar,0.8577500238063828,3,1,1
236,Debhata,0.37527895155856417,5,0,0
237,Shyamnagar,0.8896537374759456,3,0,0
238,Shyamnagar,0.8309814860037336,3,0,0
239,Kaliganj,0.605547079908061,4,1,0
240,Shyamnagar,0.7878288273554682,3,1,0
241,Satkhira Sadar,0.30160724351378554,5,1,0
242,Satkhira Sadar,0.2887235593908438,5,0,0
243,Tala,0.2879290582501673,5,0,0
244,Assasuni,0.7367174842175331,4,1,0
245,Shyamnagar,0.8741535986414498,3,0,0
246,Satkhira Sadar,0.26767084502839816,5,0,0
247,Assasuni,0.6296867316523581,4,0,0
248,Satkhira Sadar,0.18455366512877527,6,1,0
249,Satkhira Sadar,0.3089186986941962,5,0,0
250,Tala,0.2663310440329033,5,0,0
251,Shyamnagar,0.8794805936464265,3,1,1
252,Assasuni,0.6822283527268825,4,1,0
253,Tala,0.19642314645473521,6,0,0
254,Assasuni,0.6287778688303826,4,0,0
255,Shyamnagar,0.8628347930843457,3,1,1
256,Kaliganj,0.5302428252859248,4,0,0
257,Satkhira Sadar,0.20807346173804714,6,0,0
258,Kaliganj,0.5388232365438012,4,0,0
259,Kaliganj,0.47898925119051877,5,1,0
260,Shyamnagar,0.8472957102871599,3,1,1
261,Kaliganj,0.5076590766209137,4,0,0
262,Satkhira Sadar,0.29165827408920636,5,0,0
263,Shyamnagar,0.806554293838536,3,1,0
264,Assasuni,0.6782830223622702,4,1,0
265,Tala,0.18162687558713408,6,0,0
266,Debhata,0.3308670331691838,5,0,0
267,Kaliganj,0.5249490978969359,4,0,0
268,Debhata,0.3919908252075685,5,1,0
269,Assasuni,0.7000030822178955,4,1,1
270,Shyamnagar,0.8037493868063955,3,1,0
271,Debhata,0.4242472829189814,5,0,0
272,Debhata,0.44901835957838065,5,1,0
273,Tala,0.289179138445069,5,0,0
274,Tala,0.18554663554877,6,0,0
275,Assasuni,0.6820760420886743,4,1,0
276,Assasuni,0.6257395267627263,4,1,1
277,Debhata,0.35630675237937914,5,0,0
278,Kaliganj,0.6081327630574005,4,1,0
279,Debhata,0.341374331435227,5,0,0
280,Debhata,0.3948332230177034,5,1,0
281,Tala,0.26654180280453665,5,0,0
282,Assasuni,0.7153697455816156,4,1,1
283,Assasuni,0.6939473025230372,4,1,0
284,Shyamnagar,0.7614656271128776,3,1,0
285,Kaliganj,0.5157045831541588,4,1,1
286,Shyamnagar,0.8376567465077067,3,1,1
287,Assasuni,0.6231799748717249,4,1,0
288,Assasuni,0.6625940396813771,4,1,1
289,Shyamnagar,0.764980466318705,3,1,0
290,Kaliganj,0.4810009896017029,5,0,0
291,Shyamnagar,0.8195384914302394,3,1,1
292,Shyamnagar,0.779907363106459,3,1,0
293,Debhata,0.4051311272392337,5,0,0
294,Assasuni,0.7134197453705898,4,0,0
295,Shyamnagar,0.8800880048663624,3,1,0
296,Assasuni,0.6400225366367215,4,1,0
297,Debhata,0.34512238733886047,5,0,0
298,Shyamnagar,0.7756851760501601,3,0,0
299,Kaliganj,0.5591002349361092,4,1,0
300,Shyamnagar,0.8659713589730352,3,1,1
301,Shyamnagar,0.7647379217238464,3,1,0
302,Assasuni,0.7504318369365535,3,1,0
303,Assasuni,0.6177956925477208,4,1,0
304,Kaliganj,0.5457814869421498,4,1,0
305,Debhata,0.42635907791763744,5,1,0
306,Satkhira Sadar,0.301935677324452,5,0,0
307,Assasuni,0.7171130398198642,4,1,0
308,Assasuni,0.7302592124604688,4,0,0
309,Debhata,0.37091752888142093,5,0,0
310,Shyamnagar,0.8822237670619768,3,1,1
311,Assasuni,0.6220172269577012,4,1,0
312,Shyamnagar,0.8942224984090792,3,1,0
313,Shyamnagar,0.8421388564230604,3,1,0
314,Satkhira Sadar,0.29442168779474914,5,1,0
315,Debhata,0.387847742677745,5,1,0
316,Kaliganj,0.5601008773275135,4,0,0
317,Assasuni,0.688960399140417,4,1,0
318,Shyamnagar,0.8697384282632998,3,1,0
319,Shyamnagar,0.7722444973045884,3,0,0
320,Shyamnagar,0.7690528125985846,3,0,1
321,Assasuni,0.647065485101522,4,1,0
322,Debhata,0.34393170201697826,5,0,0
323,Kaliganj,0.5920496993229082,4,1,0
324,Shyamnagar,0.7928820981037067,3,1,1
325,Satkhira Sadar,0.3166211358146784,5,0,0
326,Debhata,0.37053436876566603,5,0,0
327,Kaliganj,0.4954965081964179,5,1,0
328,Kaliganj,0.5805577909999471,4,1,1
329,Assasuni,0.7088061663251314,4,1,1
330,Shyamnagar,0.8347293574679708,3,1,0
331,Assasuni,0.6933045326406446,4,1,1
332,Debhata,0.42788026674083957,5,0,0
333,Shyamnagar,0.7942682111996948,3,1,1
334,Shyamnagar,0.9094500874085113,3,1,0
335,Shyamnagar,0.9062189743220175,3,1,1
336,Shyamnagar,0.8575488529520405,3,1,0
337,Tala,0.20793594313008032,6,0,0
338,Debhata,0.42203423636469367,5,1,0
339,Assasuni,0.6208297613468764,4,0,0
340,Shyamnagar,0.7645978753308709,3,1,0
341,Assasuni,0.6486524332766821,4,1,0
342,Assasuni,0.6793934435108975,4,1,0
343,Shyamnagar,0.8902408758112571,3,1,1
344,Assasuni,0.7190753604649462,4,1,0
345,Assasuni,0.7214059781799972,4,0,0
346,Kaliganj,0.5295690668227305,4,0,0
347,Kaliganj,0.5184308989565748,4,0,0
348,Shyamnagar,0.8156558144476904,3,1,1
349,Assasuni,0.7581474345604087,3,1,0
350,Kaliganj,0.4756152867977475,5,1,0
351,Assasuni,0.7400547244183673,4,1,0
352,Tala,0.2610145572001351,5,0,0
353,Kaliganj,0.5314061586865426,4,1,0
354,Shyamnagar,0.8687886490622705,3,1,0
355,Shyamnagar,0.8330003412137055,3,1,1
356,Kaliganj,0.5922792533314325,4,1,0
357,Shyamnagar,0.8951052796016888,3,1,1
358,Kaliganj,0.5290409297622838,4,0,1
359,Satkhira Sadar,0.2187558916129072,6,0,0
360,Kaliganj,0.5529290460030707,4,1,0
361,Assasuni,0.7468545018425037,4,1,0
362,Kaliganj,0.4994927064607933,5,0,0
363,Assasuni,0.7034449875345224,4,0,0
364,Assasuni,0.704734033013878,4,1,0
365,Satkhira Sadar,0.28263582313813934,5,1,0
366,Assasuni,0.629735152769089,4,0,0
367,Satkhira Sadar,0.28021549505549237,5,0,0
368,Tala,0.30726455289318977,5,0,0
369,Shyamnagar,0.7869524663305363,3,1,1
370,Shyamnagar,0.7956314987385816,3,1,1
371,Shyamnagar,0.905709264106246,3,1,1
372,Shyamnagar,0.7871465429064235,3,1,0
373,Shyamnagar,0.8881577640054369,3,1,0
374,Kaliganj,0.5389188999027248,4,0,0
375,Shyamnagar,0.7970846611604766,3,0,0
376,Assasuni,0.7406124851908767,4,0,0
377,Debhata,0.38679578825039984,5,0,0
378,Shyamnagar,0.8372226030894535,3,1,1
379,Debhata,0.37388500540996483,5,0,0
380,Shyamnagar,0.8489426277152391,3,1,1
381,Shyamnagar,0.7845285808877535,3,1,1
382,Kaliganj,0.5247514151312465,4,0,0
383,Kaliganj,0.6057177251269402,4,0,0
384,Tala,0.21613868057815785,6,0,0
385,Debhata,0.4185104996811938,5,0,0
386,Debhata,0.36877850963370423,5,0,0
387,Shyamnagar,0.8760209688529901,3,1,1
388,Shyamnagar,0.7796310491077525,3,0,1
389,Debhata,0.4654731567617817,5,0,1
390,Debhata,0.38806843120754586,5,0,0
391,Satkhira Sadar,0.21304706486850494,6,0,0
392,Assasuni,0.6210245120995019,4,0,0
393,Assasuni,0.6354636857631311,4,0,0
394,Debhata,0.39796609228340263,5,0,0
395,Assasuni,0.6605504764646929,4,1,0
396,Satkhira Sadar,0.29604367122356534,5,0,1
397,Tala,0.24032425331265284,6,0,0
398,Assasuni,0.6473071408881444,4,0,0
399,Debhata,0.4125717479906045,5,1,0
400,Debhata,0.4260165825328168,5,0,0
401,Shyamnagar,0.7850562861851424,3,1,1
402,Tala,0.20346669028036446,6,1,0
403,Assasuni,0.6155007140400315,4,1,0
404,Debhata,0.43046030225984605,5,1,0
405,Assasuni,0.7095706791432708,4,1,0
406,Tala,0.24644832260497396,6,0,0
407,Assasuni,0.7366255673453795,4,1,0
408,Shyamnagar,0.880850522942508,3,1,0
409,Tala,0.2619496110155453,5,1,0
410,Shyamnagar,0.8902406920769889,3,1,1
411,Assasuni,0.6408761815055153,4,1,0
412,Satkhira Sadar,0.1956687467156819,6,0,0
413,Satkhira Sadar,0.21776494561237855,6,0,0
414,Kaliganj,0.47799215985250404,5,0,0
415,Kaliganj,0.5443637339201445,4,1,0
416,Assasuni,0.7504908538442443,3,0,0
417,Shyamnagar,0.7659015311002765,3,1,0
418,Assasuni,0.628316487101504,4,1,1
419,Kaliganj,0.5333078639596809,4,0,0
420,Debhata,0.4600812526291857,5,0,0
421,Debhata,0.36742341574651255,5,1,0
422,Debhata,0.39608522130325885,5,0,0
423,Shyamnagar,0.7662359288575589,3,0,0
424,Assasuni,0.6322514801443133,4,1,0
425,Shyamnagar,0.9079945184438271,3,1,0
426,Assasuni,0.7547678044654068,3,0,0
427,Assasuni,0.6107409971401614,4,1,0
428,Tala,0.3132536499592534,5,1,0
429,Assasuni,0.7058679906723251,4,1,0
430,Shyamnagar,0.8901877441780033,3,1,1
431,Shyamnagar,0.8282109783450788,3,1,0
432,Debhata,0.3973394042868875,5,0,0
433,Kaliganj,0.5384385212359688,4,1,1
434,Shyamnagar,0.8600296386319157,3,1,1
435,Shyamnagar,0.780947688213447,3,1,1
436,Debhata,0.3244960384809017,5,1,0
437,Shyamnagar,0.8061894912386787,3,0,1
438,Debhata,0.425702114410497,5,0,1
439,Debhata,0.35027801781844226,5,0,0
440,Shyamnagar,0.8610148649987376,3,1,0
441,Shyamnagar,0.9054868069160906,3,1,0
442,Satkhira Sadar,0.19314610021051856,6,0,0
443,Assasuni,0.710890317733769,4,1,0
444,Assasuni,0.6765625328956857,4,1,0
445,Debhata,0.4502213381566258,5,1,0
446,Satkhira Sadar,0.20480097052263402,6,0,0
447,Satkhira Sadar,0.276967633311663,5,0,0
448,Debhata,0.4457172934472165,5,1,1
449,Assasuni,0.7516921329211035,3,1,0
450,Shyamnagar,0.8624872042434469,3,1,1
451,Debhata,0.3945762146012641,5,1,0
452,Kaliganj,0.5564986136281699,4,1,0
453,Assasuni,0.7403357476718078,4,1,0
454,Tala,0.25988536452943617,5,1,0
455,Shyamnagar,0.7645580589545256,3,0,0
456,Assasuni,0.7496423043260467,4,1,0
457,Shyamnagar,0.8634290126547342,3,1,0
458,Assasuni,0.711477007866587,4,1,0
459,Shyamnagar,0.7923512728596576,3,1,1
460,Shyamnagar,0.8588328205348986,3,1,1
461,Shyamnagar,0.8190796608481238,3,1,0
462,Kaliganj,0.5611726167858089,4,1,1
463,Debhata,0.3359889545461986,5,0,0
464,Kaliganj,0.562098342644425,4,1,0
465,Satkhira Sadar,0.31991792160789334,5,1,0
466,Assasuni,0.6172318058290834,4,0,0
467,Shyamnagar,0.9065761276331976,3,1,0
468,Tala,0.2369671145012019,6,0,0
469,Shyamnagar,0.8906130175505889,3,1,0
470,Satkhira Sadar,0.2895339677681583,5,0,0
471,Shyamnagar,0.8450524391480002,3,1,1
472,Satkhira Sadar,0.28338288929518574,5,0,0
473,Shyamnagar,0.8917773341952022,3,1,1
474,Tala,0.23657964503114462,6,0,0
475,Assasuni,0.6590549742344858,4,0,0
476,Satkhira Sadar,0.27346307397890185,5,1,0
477,Shyamnagar,0.8811768912911888,3,1,0
478,Kaliganj,0.5767199188687262,4,1,0
479,Satkhira Sadar,0.29169391084020885,5,1,0
480,Assasuni,0.6753374972219399,4,1,0
481,Kaliganj,0.584496790264503,4,0,0
482,Kaliganj,0.4868292677518852,5,1,0
483,Assasuni,0.6916733646941274,4,1,0
484,Kaliganj,0.470806212469737,5,0,0
485,Kaliganj,0.5154420161860378,4,1,0
486,Tala,0.23130461488199572,6,0,0
487,Shyamnagar,0.8194259037413884,3,1,0
488,Shyamnagar,0.8643200810034793,3,1,0
489,Satkhira Sadar,0.2343981341778484,6,0,0
490,Tala,0.2428171071671543,6,0,0
491,Assasuni,0.6456316196311491,4,0,0
492,Kaliganj,0.5222552508281075,4,0,0
493,Shyamnagar,0.7940904440894727,3,1,1
494,Shyamnagar,0.7709793885652666,3,0,0
495,Assasuni,0.7005172890072067,4,0,0
496,Assasuni,0.7102319197832524,4,1,1
497,Kaliganj,0.5567286484413461,4,0,0
498,Shyamnagar,0.8295241065700859,3,1,0
499,Satkhira Sadar,0.23317000922509218,6,0,0
500,Satkhira Sadar,0.30086671094005557,5,1,1
501,Kaliganj,0.5426714499190706,4,1,0
502,Assasuni,0.6818772816444596,4,0,0
503,Assasuni,0.6138463098709653,4,0,0
504,Debhata,0.37118717414392344,5,0,0
505,Kaliganj,0.52322738663002,4,0,0
506,Shyamnagar,0.8198234171345351,3,1,0
507,Tala,0.2612241316918265,5,0,0
508,Debhata,0.40004038200903175,5,1,0
509,Satkhira Sadar,0.26510671299108224,5,1,0
510,Debhata,0.43473248923131924,5,0,0
511,Kaliganj,0.583818003420253,4,1,0
512,Assasuni,0.7177184614339742,4,1,0
513,Satkhira Sadar,0.31377331743369086,5,1,0
514,Tala,0.18255256157469063,6,0,0
515,Shyamnagar,0.7893666978525319,3,1,0
516,Shyamnagar,0.7611344312467213,3,1,0
517,Assasuni,0.7071212071231905,4,1,0
518,Debhata,0.454704582342498,5,1,0
519,Satkhira Sadar,0.2140875215206819,6,0,0
520,Shyamnagar,0.8990551817194461,3,1,0
521,Kaliganj,0.4784374346405385,5,1,0
522,Assasuni,0.7501654040208272,3,1,1
523,Satkhira Sadar,0.22922717621354882,6,1,0
524,Debhata,0.3352131242673825,5,1,0
525,Debhata,0.39288076387794885,5,1,0
526,Assasuni,0.6485164851580761,4,1,0
527,Assasuni,0.6527309352942884,4,1,0
528,Shyamnagar,0.806093494738943,3,1,1
529,Shyamnagar,0.8804538846748995,3,1,1
530,Tala,0.2554825787345356,5,0,0
531,Debhata,0.36669615487340057,5,0,0
532,Satkhira Sadar,0.26544672966352856,5,1,0
533,Satkhira Sadar,0.28026109439124713,5,1,0
534,Kaliganj,0.5081673601026947,4,0,0
535,Debhata,0.38203236522880274,5,1,0
536,Satkhira Sadar,0.19706405306717265,6,1,0
537,Debhata,0.34717240243020203,5,0,0
538,Shyamnagar,0.8621676780947475,3,1,0
539,Assasuni,0.637215752154344,4,1,0
540,Shyamnagar,0.838774507550059,3,1,1
541,Satkhira Sadar,0.27926647664114057,5,0,0
542,Kaliganj,0.4849627692332641,5,0,0
543,Shyamnagar,0.8450968329443356,3,1,0
544,Kaliganj,0.5059187897181909,4,1,0
545,Kaliganj,0.6048097625332611,4,1,0
546,Assasuni,0.6825318470079887,4,0,0
547,Shyamnagar,0.8808988824662738,3,0,0
548,Kaliganj,0.5470317159018766,4,1,0
549,Assasuni,0.6165118799282229,4,0,0
550,Debhata,0.4149727063391033,5,0,0
551,Assasuni,0.7527105013309986,3,1,0
552,Tala,0.2642256548204864,5,0,0
553,Kaliganj,0.5846864403197506,4,1,0
554,Kaliganj,0.5937889048687771,4,0,0
555,Tala,0.21193116807285053,6,0,0
556,Assasuni,0.641806725986234,4,1,0
557,Shyamnagar,0.8516471483276488,3,1,1
558,Shyamnagar,0.8216542704710057,3,1,1
559,Debhata,0.445979195430008,5,0,0
560,Kaliganj,0.5960032372757216,4,1,0
561,Debhata,0.37301320689540773,5,0,0
562,Shyamnagar,0.7955305838461724,3,0,1
563,Shyamnagar,0.8770788272865793,3,0,1
564,Shyamnagar,0.8012209053322205,3,1,1
565,Assasuni,0.7333921477770518,4,0,0
566,Kaliganj,0.5293233555108268,4,1,1
567,Assasuni,0.7101324848937206,4,1,1
568,Assasuni,0.6243302970752003,4,1,1
569,Tala,0.2673403054547202,5,0,0
570,Assasuni,0.6777651518105844,4,0,0
571,Assasuni,0.6979912694763211,4,1,0
572,Debhata,0.3452021311617295,5,0,0
573,Assasuni,0.7205310617416273,4,1,0
574,Kaliganj,0.5907915908560519,4,1,0
575,Tala,0.2103435720127086,6,1,0
576,Satkhira Sadar,0.19340003777282264,6,0,0
577,Shyamnagar,0.7635457879069505,3,1,1
578,Satkhira Sadar,0.26987601006205725,5,0,0
579,Assasuni,0.7010641054133171,4,1,0
580,Shyamnagar,0.8420046119071105,3,1,1
581,Assasuni,0.6447920644173963,4,0,0
582,Satkhira Sadar,0.23472683942677205,6,0,0
583,Assasuni,0.6991714502779259,4,0,0
584,Assasuni,0.6845150288288754,4,0,1
585,Kaliganj,0.6082899728300842,4,0,0
586,Shyamnagar,0.78046596288351,3,1,1
